age,workclass,educational_num,marital_status,capital_gain,capital_loss,num_visits_store_last_year,native_country,is_weekend,educational,buy_the_new_product
25,Private,7,Own-child,0,0,40,United-States,0,11th,0
38,Private,9,Husband,0,0,50,United-States,0,HS-grad,0
28,Local-gov,12,Husband,0,0,40,United-States,1,Assoc-admn,1
44,Private,10,Husband,7688,0,40,United-States,0,Some-college,1
18,?,10,Own-child,0,0,30,United-States,0,Some-college,0
34,Private,6,Not-in-family,0,0,30,United-States,0, 10th,0
29,?,9,Unmarried,0,0,40,United-States,0,HS-grad,0
63,Self-emp-not-inc,15,Husband,3103,0,32,United-States,1,Prof-school,1
24,Private,10,Unmarried,0,0,40,United-States,0,Some-college,0
55,Private,4,Husband,0,0,10,United-States,0,7th - 8th,0
65,Private,9,Husband,6418,0,40,United-States,1,HS-grad,1
36,Federal-gov,13,Husband,0,0,40,United-States,0,Bachelor,0
26,Private,9,Not-in-family,0,0,39,United-States,0,HS-grad,0
58,?,9,Husband,0,0,35,United-States,0,HS-grad,0
48,Private,9,Husband,3103,0,48,United-States,1,HS-grad,1
43,Private,14,Husband,0,0,50,United-States,1,Masters,1
20,State-gov,10,Own-child,0,0,25,United-States,0,Some-college,0
43,Private,9,Wife,0,0,30,United-States,0,HS-grad,0
37,Private,9,Unmarried,0,0,20,United-States,0,HS-grad,0
40,Private,16,Husband,0,0,45,?,1,Doctorate,1
34,Private,13,Husband,0,0,47,United-States,1,Bachelor,1
34,Private,10,Own-child,0,0,35,United-States,0,Some-college,0
72,?,4,Not-in-family,0,0,6,United-States,0,7th - 8th,0
25,Private,13,Not-in-family,0,0,43,Peru,0,Bachelor,0
25,Private,13,Husband,0,0,40,United-States,0,Bachelor,0
45,Self-emp-not-inc,9,Husband,7298,0,90,United-States,1,HS-grad,1
22,Private,9,Own-child,0,0,20,United-States,0,HS-grad,0
23,Private,9,Unmarried,0,0,54,United-States,0,HS-grad,0
54,Private,9,Husband,0,0,35,United-States,0,HS-grad,0
32,Self-emp-not-inc,10,Not-in-family,0,0,60,United-States,0,Some-college,0
46,State-gov,10,Husband,7688,0,38,United-States,1,Some-college,1
56,Self-emp-not-inc,7,Unmarried,0,0,50,United-States,0,11th,0
24,Self-emp-not-inc,13,Not-in-family,0,0,50,United-States,0,Bachelor,0
23,Local-gov,10,Husband,0,0,40,United-States,1,Some-college,0
26,Private,9,Unmarried,0,0,40,United-States,0,HS-grad,0
65,?,9,Husband,0,0,40,United-States,0,HS-grad,0
36,Local-gov,13,Husband,0,0,40,United-States,1,Bachelor,1
22,Private,3,Not-in-family,0,0,50,Guatemala,0,5th-6th,0
17,Private,6,Not-in-family,0,0,40,United-States,0, 10th,0
20,Private,9,Own-child,0,0,40,United-States,0,HS-grad,0
65,Private,14,Husband,0,0,50,United-States,1,Masters,1
44,Self-emp-inc,11,Husband,0,0,45,United-States,1,Assoc-voc,1
36,Private,9,Husband,0,0,40,United-States,0,HS-grad,0
29,Private,7,Husband,0,0,40,United-States,0,11th,0
20,State-gov,10,Own-child,0,0,32,United-States,0,Some-college,0
28,Private,11,Wife,0,0,36,United-States,1,Assoc-voc,1
39,Private,4,Husband,0,0,40,Mexico,0,7th - 8th,0
54,Private,10,Husband,3908,0,50,United-States,0,Some-college,0
52,Private,7,Not-in-family,0,0,18,United-States,0,11th,0
56,Self-emp-inc,9,Not-in-family,0,0,50,United-States,0,HS-grad,0
18,Private,10,Own-child,0,0,20,United-States,0,Some-college,0
39,Private,9,Own-child,0,0,40,United-States,0,HS-grad,0
21,Private,10,Own-child,0,1721,24,United-States,0,Some-college,0
22,Private,9,Not-in-family,14084,0,60,United-States,1,HS-grad,1
38,Private,5,Not-in-family,0,0,54,Mexico,0,9th,0
21,Private,10,Own-child,0,0,40,United-States,0,Some-college,0
63,Private,9,Husband,0,0,40,United-States,0,HS-grad,0
34,Local-gov,13,Husband,3103,0,50,United-States,1,Bachelor,1
42,Self-emp-inc,9,Husband,5178,0,50,United-States,1,HS-grad,1
33,Private,9,Husband,0,0,40,United-States,0,HS-grad,0
30,Private,13,Not-in-family,0,0,50,United-States,0,Bachelor,0
39,Private,10,Not-in-family,0,0,40,United-States,0,Some-college,0
